Gebietsart;Gebietsnummer;Wahlberechtigte ohne Wahlschein;Wahlberechtigte mit Wahlschein;Wahlberechtigte nicht im Wählerverzeichnis;Wähler ohne Wahlschein;Wähler mit Wahlschein;Briefwähler in Urnenwahlgebiet erfasst;Stimmabgabeart;Zeilenart;Gruppe-Schluessel;201 (Färber);202 (Scherzl);203 (Maurer);204 (Kiran);205 (Mágori);206 (Lechner);207 (Streu-Schütze);208 (Dusi-Färber);209 (Ried);210 (Kampouridis);211 (Einhellig);212 (Meier);213 (Feuchter);214 (Ebbinghaus-Guschke);215 (Reiser);216 (Dieminger);217 (Götz-Einhellig);218 (Sandmann);219 (Röhrich);220 (Klinger);221 (Reischenbeck);222 (Meier);223 (Blecher);224 (Kaiser-Röhrich);225 (Steinbacher);226 (Rothmoser);227 (Reith);228 (Martl);229 (Daimer);230 (Reith);231 (Richter);232 (Reitsberger)
STIMMBEZIRK;091751120002;861;898;0;447;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;86;77;117;78;77;187;214;81;91;87;62;50;53;53;54;44;46;49;26;38;19;24;21;24;17;30;20;17;20;22;21;34
STIMMBEZIRK;091751190004;696;528;0;379;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;103;103;167;107;87;271;263;99;114;97;80;67;64;49;62;45;51;44;23;57;20;20;24;23;20;41;22;20;21;24;21;37
STIMMBEZIRK;091751360003;606;600;0;330;2;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;142;131;179;136;137;261;368;146;138;152;85;100;93;78;94;78;79;71;41;56;40;33;33;35;32;39;35;29;28;30;27;34
STIMMBEZIRK;091751130101;603;601;0;300;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;72;61;101;72;59;105;79;67;61;54;48;41;35;34;40;35;32;33;17;21;14;16;15;18;14;17;16;13;13;15;15;24
STIMMBEZIRK;091751140201;489;566;0;308;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;101;83;98;87;81;139;119;85;92;79;84;54;51;48;49;48;58;45;21;38;24;22;21;21;20;32;20;20;20;20;20;27
STIMMBEZIRK;091751160301;573;365;0;278;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;62;49;55;44;42;52;45;44;41;51;31;26;24;27;24;25;23;28;12;12;11;13;12;12;13;11;14;10;11;10;11;11
STIMMBEZIRK;091751160302;502;411;0;256;2;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;59;42;57;40;41;50;39;43;39;45;29;25;29;28;32;26;28;28;17;17;10;10;10;12;8;11;11;8;8;8;12;8
STIMMBEZIRK;091751210401;1124;997;0;434;1;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;71;57;75;52;48;77;74;55;51;45;29;30;29;32;32;28;33;26;13;25;13;13;13;13;11;15;17;11;11;15;11;17
STIMMBEZIRK;091751210402;1052;888;0;419;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;64;56;66;57;57;77;64;63;54;64;52;38;41;44;44;42;41;35;15;20;15;16;17;18;21;18;15;14;14;14;17;17
STIMMBEZIRK;091751280501;739;483;0;459;1;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;90;77;92;84;72;94;82;76;71;75;63;49;44;40;47;40;48;40;20;23;19;19;19;23;20;25;25;22;19;19;19;23
STIMMBEZIRK;091751310601;589;383;0;264;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;58;46;53;51;44;56;39;43;51;50;26;32;27;24;31;22;23;25;14;16;11;11;11;12;11;15;12;14;11;15;13;15
STIMMBEZIRK;091751310602;590;372;0;338;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;80;51;60;64;48;54;51;65;47;60;37;31;28;26;40;25;23;29;18;17;12;17;14;18;10;11;13;11;10;14;10;17
KREIS;09175000;62795;46636;0;28803;261;0;URNE;SUMME;FREIE WÄHLER;5825;5605;6085;5609;5019;6163;5688;5289;4967;5553;3660;3340;3152;3144;3333;3069;3038;3027;1717;1868;1543;1493;1425;1594;1454;1654;1488;1431;1382;1426;1407;1894
BRIEFWAHLBEZIRK;091751350021;;;;0;412;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;99;220;119;89;156;93;88;92;79;134;54;60;55;104;64;99;55;52;82;25;29;25;24;66;24;26;24;65;24;23;39;40
BRIEFWAHLBEZIRK;091751350022;;;;0;387;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;62;217;80;62;122;83;60;72;51;62;35;38;33;88;36;83;32;35;85;18;16;15;15;46;15;17;14;43;14;14;38;23
BRIEFWAHLBEZIRK;091751350023;;;;0;385;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;86;236;109;75;147;76;67;77;58;85;39;49;40;84;45;81;36;39;76;19;19;24;18;53;19;18;23;53;18;22;56;27
BRIEFWAHLBEZIRK;091751350024;;;;0;390;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;87;204;79;67;121;61;62;58;55;95;39;41;34;100;42;87;37;38;94;23;17;18;18;67;20;18;20;79;17;20;75;34
BRIEFWAHLBEZIRK;091751350025;;;;0;395;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;72;233;86;73;141;74;63;75;66;70;39;50;40;101;46;98;35;46;93;21;19;18;20;55;19;21;26;57;21;22;70;27
BRIEFWAHLBEZIRK;091751350026;;;;0;401;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;74;200;76;74;129;66;58;72;49;73;33;35;32;87;36;62;30;28;91;15;13;15;14;57;14;15;17;52;14;17;46;32
BRIEFWAHLBEZIRK;091751350027;;;;0;448;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;99;259;105;105;158;102;103;101;83;101;61;59;58;108;65;101;56;59;97;26;29;25;26;92;22;25;27;93;25;22;69;27
BRIEFWAHLBEZIRK;091751350028;;;;0;415;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;66;256;84;72;149;80;60;72;59;90;34;40;37;81;45;81;38;36;100;16;15;18;16;66;15;15;17;57;17;17;48;34
BRIEFWAHLBEZIRK;091751350029;;;;0;388;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;70;203;88;64;125;68;58;69;51;89;38;40;39;82;43;67;35;38;90;16;19;17;15;51;16;21;22;51;15;15;55;32
BRIEFWAHLBEZIRK;091751350030;;;;0;389;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;58;172;68;59;109;59;51;63;48;74;26;31;26;93;40;87;26;29;112;16;13;13;13;75;13;16;13;56;13;13;52;25
BRIEFWAHLBEZIRK;091751110011;;;;0;224;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;17;49;53;21;23;48;23;25;11;62;13;12;13;10;17;9;9;6;12;3;21;6;3;10;6;3;6;4;3;12;3;18
BRIEFWAHLBEZIRK;091751110012;;;;0;259;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;72;68;90;42;54;66;42;43;43;107;38;33;27;28;29;25;22;28;34;10;24;10;11;19;11;10;26;15;10;13;16;29
BRIEFWAHLBEZIRK;091751110013;;;;0;255;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;39;58;81;27;24;51;28;36;27;156;15;20;11;32;23;15;8;14;49;14;6;3;3;25;6;6;6;9;3;6;15;54
BRIEFWAHLBEZIRK;091751110014;;;;0;258;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;70;69;76;52;39;50;33;49;33;136;15;51;24;20;35;19;18;19;61;8;17;8;10;25;10;12;19;16;9;16;14;41
BRIEFWAHLBEZIRK;091751110015;;;;0;257;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;30;51;57;41;34;27;23;17;27;87;15;28;9;12;20;7;6;12;22;6;23;4;6;5;6;4;12;13;3;3;9;21
BRIEFWAHLBEZIRK;091751110016;;;;0;254;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;43;67;102;33;45;64;31;40;34;81;28;22;22;24;21;22;16;23;31;8;22;11;11;14;10;7;7;16;11;14;12;27
BRIEFWAHLBEZIRK;091751150021;;;;0;436;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;48;43;80;54;36;75;71;48;69;60;76;30;34;24;31;30;33;28;11;27;20;11;15;12;14;18;16;10;10;13;10;29
BRIEFWAHLBEZIRK;091751150022;;;;0;356;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;39;34;42;35;32;57;40;33;103;69;48;21;24;23;29;24;25;18;11;17;11;12;8;9;8;16;8;8;8;10;12;16
BRIEFWAHLBEZIRK;091751150023;;;;0;387;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;67;50;95;48;52;110;79;67;87;81;69;33;39;30;40;29;33;29;14;37;18;15;15;15;14;45;15;14;15;19;14;32
BRIEFWAHLBEZIRK;091751150024;;;;0;430;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;62;47;103;30;24;103;63;56;106;62;81;29;22;15;22;13;30;12;11;31;18;6;7;7;7;51;12;6;7;6;10;21
BRIEFWAHLBEZIRK;091751150025;;;;0;469;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;34;40;76;35;27;103;58;38;114;55;78;26;17;20;27;23;21;23;13;32;15;13;9;7;9;29;13;9;12;8;14;13
BRIEFWAHLBEZIRK;091751150026;;;;0;405;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;51;46;88;51;43;73;64;45;91;59;68;31;30;33;31;29;39;32;16;36;18;12;14;12;13;33;16;13;14;14;16;35
BRIEFWAHLBEZIRK;091751150027;;;;0;392;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;39;37;45;33;33;65;45;45;102;52;63;21;30;19;28;19;34;21;13;24;15;9;9;13;8;53;14;8;8;8;8;26
BRIEFWAHLBEZIRK;091751150028;;;;0;422;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;57;46;87;48;39;88;70;62;106;59;66;36;33;26;29;24;35;24;14;27;15;17;17;15;17;45;11;11;10;13;10;33
BRIEFWAHLBEZIRK;091751150029;;;;0;380;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;44;32;69;40;33;95;48;49;71;50;45;19;20;26;33;22;25;19;12;31;10;8;10;15;8;18;13;8;8;8;9;24
BRIEFWAHLBEZIRK;091751150030;;;;0;422;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;49;39;208;47;35;281;163;52;73;61;67;40;30;24;46;24;25;29;13;45;17;14;12;10;10;31;21;9;15;9;9;39
BRIEFWAHLBEZIRK;091751180011;;;;0;429;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;151;158;275;124;134;180;136;135;131;168;83;104;83;90;128;87;74;99;94;42;100;42;36;55;33;35;45;33;47;39;35;52
BRIEFWAHLBEZIRK;091751180012;;;;0;428;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;126;134;198;114;109;125;99;115;103;137;71;73;65;64;107;64;53;72;55;34;88;26;25;27;25;26;30;24;45;23;31;36
BRIEFWAHLBEZIRK;091751180013;;;;0;443;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;144;195;287;141;142;196;148;142;137;176;79;94;79;92;132;95;77;87;72;63;85;37;34;45;33;37;38;39;38;37;46;62
BRIEFWAHLBEZIRK;0101;;;;0;251;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;48;44;59;43;46;86;54;54;53;61;151;32;39;27;30;28;62;27;13;95;13;12;12;13;13;65;16;13;11;12;14;15
BRIEFWAHLBEZIRK;0102;;;;0;245;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;36;37;78;39;33;161;138;36;61;46;177;25;43;16;33;23;57;17;11;134;14;9;8;8;8;70;9;9;8;8;8;24
BRIEFWAHLBEZIRK;0103;;;;0;265;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;31;37;46;30;34;58;48;28;44;29;130;19;62;17;22;16;51;14;7;96;7;8;7;10;6;88;6;6;7;7;6;11
BRIEFWAHLBEZIRK;0104;;;;0;240;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;32;26;41;29;25;71;37;30;41;40;124;14;44;17;14;14;68;20;10;69;7;7;7;10;7;59;10;7;7;10;10;12
BRIEFWAHLBEZIRK;0105;;;;0;247;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;60;58;67;55;48;81;63;49;51;53;171;36;44;37;31;32;54;26;13;96;10;13;10;11;10;101;13;10;10;10;10;37
BRIEFWAHLBEZIRK;0106;;;;0;248;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;49;45;81;53;45;88;73;64;46;69;134;44;56;31;40;31;68;32;14;104;14;15;15;15;14;68;22;17;13;16;19;22
BRIEFWAHLBEZIRK;0107;;;;0;254;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;67;52;83;62;58;115;75;61;61;73;146;48;61;38;40;27;79;24;15;90;17;13;15;12;12;66;11;14;12;13;10;19
BRIEFWAHLBEZIRK;0108;;;;0;242;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;58;50;76;55;54;95;79;46;54;47;158;30;52;32;30;29;55;26;17;120;13;13;14;14;13;65;15;13;12;14;11;25
BRIEFWAHLBEZIRK;0109;;;;0;248;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;24;24;36;24;21;57;58;39;34;34;165;23;28;12;15;18;49;12;6;122;9;6;6;6;6;80;9;6;6;7;6;15
BRIEFWAHLBEZIRK;0110;;;;0;243;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;54;48;67;48;45;97;70;53;78;67;175;29;44;32;31;26;69;27;17;121;13;17;13;14;13;66;15;12;12;13;12;25
BRIEFWAHLBEZIRK;0111;;;;0;0;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BRIEFWAHLBEZIRK;0112;;;;0;237;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;42;41;53;43;39;77;52;42;48;54;90;32;37;26;33;24;50;25;12;54;12;13;13;13;12;45;11;12;11;11;16;17
BRIEFWAHLBEZIRK;0113;;;;0;237;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;45;40;55;40;33;71;63;42;46;51;162;29;37;18;28;18;57;21;10;92;12;9;9;9;9;64;10;12;12;8;8;18
BRIEFWAHLBEZIRK;0114;;;;0;228;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;41;40;55;36;30;77;53;36;46;46;131;21;34;18;18;12;56;12;6;105;6;6;6;10;6;61;6;6;6;6;6;8
BRIEFWAHLBEZIRK;0115;;;;0;228;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;32;36;42;28;28;65;51;32;51;36;118;24;30;18;20;19;42;19;10;86;12;9;9;9;9;69;12;8;8;10;7;16
BRIEFWAHLBEZIRK;0116;;;;0;227;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;64;59;63;70;52;108;61;64;74;65;131;38;66;37;49;34;60;39;18;95;15;16;15;18;15;79;24;15;21;15;15;16
BRIEFWAHLBEZIRK;0117;;;;0;232;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;51;30;57;33;27;73;48;21;61;31;133;8;36;11;14;8;60;8;5;71;4;7;4;4;4;61;4;4;4;4;4;7
BRIEFWAHLBEZIRK;0118;;;;0;236;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;46;34;43;43;40;79;55;31;33;31;120;29;50;16;19;19;44;16;9;86;9;9;8;9;8;76;11;11;11;11;12;29
BRIEFWAHLBEZIRK;0119;;;;0;229;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;50;44;68;52;42;69;74;44;56;51;149;25;50;25;26;28;65;23;12;91;12;12;13;13;13;59;13;11;11;11;12;22
BRIEFWAHLBEZIRK;0120;;;;0;233;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;40;43;45;51;38;69;60;46;50;55;145;27;47;25;40;38;76;27;13;103;18;12;13;12;12;68;13;13;15;14;15;17
BRIEFWAHLBEZIRK;091751230011;;;;0;198;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;46;40;223;34;33;74;37;44;32;47;18;29;18;22;141;21;18;18;12;15;119;9;8;8;11;11;10;7;71;4;4;20
BRIEFWAHLBEZIRK;091751230012;;;;0;196;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;81;72;222;60;52;94;65;74;56;70;45;44;33;40;165;33;38;31;24;18;149;17;22;18;15;15;18;16;81;16;18;33
BRIEFWAHLBEZIRK;091751230013;;;;0;195;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;75;65;231;61;56;85;67;62;59;75;38;37;35;36;184;32;32;31;28;25;138;15;17;24;14;14;13;14;100;11;13;13
BRIEFWAHLBEZIRK;091751230014;;;;0;191;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;64;61;207;57;45;91;67;55;52;50;26;32;30;31;144;28;32;31;18;16;124;13;13;17;13;13;12;11;73;17;11;20
BRIEFWAHLBEZIRK;091751230015;;;;0;190;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;64;59;228;56;53;91;59;58;70;59;41;34;34;33;162;30;29;33;26;13;147;14;15;14;14;23;14;14;86;13;17;37
BRIEFWAHLBEZIRK;091751230016;;;;0;185;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;67;56;261;52;49;134;55;62;61;65;30;42;33;28;162;36;28;29;20;18;143;19;20;15;16;13;18;12;75;16;12;27
BRIEFWAHLBEZIRK;091751230017;;;;0;165;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;63;63;187;60;51;95;57;63;60;57;37;34;32;43;133;30;32;41;29;16;99;15;16;18;14;12;15;12;54;12;9;20
BRIEFWAHLBEZIRK;091751240011;;;;0;257;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;45;36;41;42;35;60;42;55;46;40;40;34;20;29;35;23;18;20;9;27;11;17;9;14;9;19;11;12;10;9;9;15
BRIEFWAHLBEZIRK;091751240012;;;;0;270;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;58;47;56;52;47;65;52;54;43;55;47;35;30;31;38;27;28;26;12;22;13;12;12;17;12;20;19;12;13;16;12;23
BRIEFWAHLBEZIRK;091751240013;;;;0;257;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;62;50;72;52;51;66;49;67;49;56;35;31;30;31;42;25;26;24;16;17;13;12;13;14;12;18;12;12;12;12;13;28
BRIEFWAHLBEZIRK;091751240014;;;;0;258;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;50;42;69;49;42;83;60;50;45;53;32;33;34;26;37;25;32;24;17;23;13;13;12;17;12;15;17;12;13;13;12;37
BRIEFWAHLBEZIRK;091751240015;;;;0;249;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;50;40;51;45;34;72;49;47;41;56;40;34;32;27;33;18;19;19;12;26;8;9;8;9;9;14;14;8;10;12;8;21
BRIEFWAHLBEZIRK;091751240016;;;;0;265;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;49;43;62;45;39;73;44;64;41;54;41;31;27;26;34;22;27;20;11;21;14;13;10;14;11;19;10;10;10;10;10;21
BRIEFWAHLBEZIRK;091751240017;;;;0;252;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;53;44;49;45;39;57;41;56;48;72;38;42;32;28;28;29;25;23;11;25;13;11;12;13;11;24;20;14;12;12;11;40
BRIEFWAHLBEZIRK;091751240018;;;;0;255;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;53;38;58;39;37;68;43;45;38;51;28;25;26;25;29;26;26;23;17;29;15;12;12;12;12;21;13;13;14;11;11;24
BRIEFWAHLBEZIRK;091751240019;;;;0;256;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;40;42;55;46;36;74;42;47;57;58;45;30;25;24;31;25;32;28;11;11;12;12;14;15;11;17;11;11;11;13;15;21
BRIEFWAHLBEZIRK;091751240020;;;;0;247;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;37;37;54;21;31;49;29;35;25;49;24;24;24;21;17;15;21;15;14;13;6;9;7;6;7;9;7;6;7;6;5;16
BRIEFWAHLBEZIRK;091751270021;;;;0;337;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;65;81;85;62;53;83;63;73;59;75;33;41;36;41;47;39;35;101;40;14;14;20;16;23;19;19;16;18;15;16;16;25
BRIEFWAHLBEZIRK;091751270022;;;;0;292;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;86;89;108;83;86;93;74;80;76;88;50;58;45;47;55;47;47;110;51;30;22;29;24;29;23;21;24;21;27;22;21;29
BRIEFWAHLBEZIRK;091751270023;;;;0;282;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;63;88;106;65;59;75;70;71;58;90;37;39;31;33;42;33;29;111;34;18;15;13;14;22;12;15;13;13;12;15;12;28
BRIEFWAHLBEZIRK;091751270024;;;;0;330;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;67;64;100;58;48;87;70;74;58;66;44;44;30;35;39;25;29;76;39;13;19;14;13;19;12;15;15;12;14;19;26;25
BRIEFWAHLBEZIRK;091751270025;;;;0;339;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;39;63;76;45;43;41;40;39;40;70;21;25;21;25;21;19;22;96;42;12;11;8;8;12;9;8;8;12;8;9;9;14
BRIEFWAHLBEZIRK;091751270026;;;;0;330;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;78;97;88;61;77;82;64;78;61;93;39;49;34;44;37;43;33;112;50;23;23;13;17;39;17;17;18;22;12;16;22;30
BRIEFWAHLBEZIRK;091751270027;;;;0;338;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;90;104;90;60;66;73;57;77;66;90;42;37;39;32;48;33;35;137;60;21;28;17;19;26;17;15;24;27;20;16;19;36
BRIEFWAHLBEZIRK;091751270028;;;;0;334;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;65;76;94;59;52;71;58;60;55;72;39;37;35;37;35;37;38;114;36;20;28;20;18;19;19;17;22;22;15;15;21;23
BRIEFWAHLBEZIRK;091751270029;;;;0;333;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;104;115;129;86;94;102;94;96;98;111;54;53;55;62;80;50;46;141;47;26;29;26;22;31;22;22;23;29;25;25;40;28
BRIEFWAHLBEZIRK;091751270030;;;;0;337;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;54;91;66;54;60;51;45;47;42;69;32;29;26;37;35;30;26;102;39;13;17;13;13;20;13;13;16;17;13;16;14;18
BRIEFWAHLBEZIRK;091751320031;;;;0;389;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;119;62;81;130;63;69;65;140;53;145;38;95;36;42;41;38;37;38;27;22;17;28;23;21;24;16;36;16;16;31;24;114
BRIEFWAHLBEZIRK;091751320032;;;;0;367;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;110;76;87;146;63;78;69;111;60;94;47;94;47;38;51;34;35;32;17;20;14;45;28;13;25;13;48;16;16;32;15;104
BRIEFWAHLBEZIRK;091751320033;;;;0;381;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;93;50;63;125;42;54;50;101;45;115;33;82;37;33;30;30;28;29;13;19;14;31;29;12;26;11;32;11;11;26;12;90
BRIEFWAHLBEZIRK;091751320034;;;;0;363;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;93;59;65;116;43;61;42;93;48;90;25;78;31;32;40;31;22;22;15;17;11;20;15;15;17;11;29;17;12;19;17;87
BRIEFWAHLBEZIRK;091751320035;;;;0;401;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;124;61;69;135;60;63;54;110;51;101;36;77;30;30;39;31;33;30;21;15;21;22;24;18;27;15;39;18;15;31;18;92
BRIEFWAHLBEZIRK;091751320036;;;;0;365;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;125;41;35;162;34;58;34;171;34;131;24;86;20;33;31;23;21;29;11;9;15;28;23;13;34;12;24;10;13;29;12;102
BRIEFWAHLBEZIRK;091751320037;;;;0;357;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;110;82;87;135;73;98;81;128;72;95;47;101;41;42;43;44;37;36;23;24;19;33;17;26;30;23;40;20;20;33;20;85
BRIEFWAHLBEZIRK;091751320038;;;;0;384;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;93;45;58;118;41;57;33;125;41;143;24;73;23;30;37;30;20;36;14;21;12;29;31;13;30;9;28;10;10;35;9;86
BRIEFWAHLBEZIRK;091751320039;;;;0;385;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;116;63;73;133;61;63;54;95;61;91;41;86;35;35;38;35;37;35;23;19;22;41;29;16;38;16;29;17;16;28;15;63
BRIEFWAHLBEZIRK;091751320040;;;;0;360;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;121;73;84;161;66;78;74;126;60;126;48;90;46;43;51;41;40;45;34;22;22;34;28;33;36;22;41;18;18;45;19;99
BRIEFWAHLBEZIRK;091751320041;;;;0;395;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;100;49;57;167;46;55;40;108;39;95;34;71;30;36;43;24;27;28;25;15;21;30;27;18;27;12;45;12;12;45;15;101
BRIEFWAHLBEZIRK;091751320042;;;;0;395;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;109;72;74;144;69;61;69;125;60;139;46;86;45;45;58;41;46;44;27;31;20;44;26;24;43;20;47;20;19;41;20;95
BRIEFWAHLBEZIRK;091751320043;;;;0;381;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;99;53;66;131;46;59;48;129;46;145;37;74;32;27;31;28;25;24;13;14;17;34;23;14;28;15;45;11;11;36;17;106
BRIEFWAHLBEZIRK;091751320044;;;;0;360;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;93;56;57;153;48;60;53;140;47;125;30;87;35;36;39;32;33;29;27;14;19;45;28;17;37;12;28;11;13;32;9;99
BRIEFWAHLBEZIRK;091751320045;;;;0;404;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;154;94;104;189;86;109;77;164;80;167;57;155;55;59;56;49;51;52;30;35;22;48;43;20;48;20;61;21;24;49;19;133
BRIEFWAHLBEZIRK;091751320046;;;;0;380;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;139;86;86;146;89;96;81;153;74;152;50;108;46;54;63;49;49;52;29;29;24;57;37;28;51;27;58;25;27;50;23;85
BRIEFWAHLBEZIRK;091751320047;;;;0;372;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;128;92;99;174;74;78;66;121;63;112;50;108;39;39;50;36;37;37;17;17;16;28;22;20;35;14;28;13;16;34;13;100
BRIEFWAHLBEZIRK;091751320048;;;;0;404;0;BRIEF;ERFASSUNGSEINHEIT;FREIE WÄHLER;109;74;96;147;60;87;74;120;74;106;47;112;38;46;49;42;45;36;21;19;21;24;21;16;32;14;51;17;14;45;17;118
